cod_asl;cod_struttura;denom_struttura;indirizzo_ubicazione;cod_istat_comune_ubicazione;comune_ubicazione;prov_comune_ubicazione;denom_gestore;p_iva;indirizzo_sede_legale;cod_istat_comune_sede_legale;comune_sede_legale;prov_sede_legale;natura_giuridica;pubblica_privata;onlus;wgs84_x;wgs84_y;location/latitude;location/longitude;location/human_address;:@computed_region_6hky_swhk;:@computed_region_ttgh_9sm5
324;003138;NOA SEREGNO;VIA BELLINI  1;108039;SEREGNO;MB;ASST DI VIMERCATE;09314320962;VIA SANTI COSMA E DAMIANO 10;108050;VIMERCATE;MB;ASST;PUBBLICO;NO;9.21107441;45.64485282;45.64485282;9.21107441;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";12;12
309;309006301;SER.T. RHO;VIA GIUSEPPE CASATI  45;015182;RHO;MI;ASL DELLA PROVINCIA DI MILANO 1;12313930153;VIA SAVONAROLA 3;015118;LEGNANO;MI;ASL;PUBBLICO;NO;9.0455513;45.54866251;45.54866251;9.0455513;;4;4
324;003038;SER.T MONZA;VIA SOLFERINO  16;108033;MONZA;MB;ASST DI MONZA;09314290967;VIA GIOVANNI BATTISTA PERGOLESI 33;108033;MONZA;MB;ASST;PUBBLICO;NO;9.26605235;45.57776664;45.57776664;9.26605235;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";12;12
321;003582;NOA SETTEMBRINI;VIA LUIGI SETTEMBRINI  32;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.20703308;45.48278885;45.48278885;9.20703308;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002605;CITTIGLIO;VIA MARCONI  40;012051;CITTIGLIO;VA;ASST DEI SETTE LAGHI;03510050127;VIALE LUIGI BORRI 57;012133;VARESE;VA;ASST;PUBBLICO;NO;;;;;;;
322;002705;SERT SEDE EROGATIVA TOSSICO/ALCOL DIPENDENZE;VIA CESARE BATTISTI  38;013143;MARIANO COMENSE;CO;ASST LARIANA;03622110132;VIA NAPOLEONA 60;013075;COMO;CO;ASST;PUBBLICO;NO;9.1833397;45.69143598;45.69143598;9.1833397;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";2;2
321;003581;NOA BARONI;VIA COSTANTINO BARONI  48;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.17193094;45.41189525;45.41189525;9.17193094;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;003578;NOA PERINI;VIA CARLO PERINI  23;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.14471455;45.51080965;45.51080965;9.14471455;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
325;003212;SER.D. PONTE SAN PIETRO;VIA ADDA  18/A;016170;PONTE SAN PIETRO;BG;ASST DI BERGAMO OVEST;04114450168;PIAZZALE OSPEDALE 1;016219;TREVIGLIO;BG;ASST;PUBBLICO;NO;9.58266519;45.69429902;45.69429902;9.58266519;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
321;002423;SER.T. CORSICO;VIA ITALIA  50/B;015093;CORSICO;MI;ASST RHODENSE;09323530965;VIALE CARLO FORLANINI 95;015105;GARBAGNATE MILANESE;MI;ASST;PUBBLICO;NO;9.09215163;45.43422513;45.43422513;9.09215163;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;003577;SERT ACCURSIO;PIAZZALE FRANCESCO ACCURSIO  7;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.1453477;45.49172273;45.49172273;9.1453477;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
325;003244;SER.D ASST BERGAMO EST - SEDE LOVERE;PIAZZALE BONOMELLI  7;016128;LOVERE;BG;ASST DI BERGAMO EST;04114380167;VIA PADERNO 21;016198;SERIATE;BG;ASST;PUBBLICO;NO;10.07353573;45.81826561;45.81826561;10.07353573;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
327;003488;STRUTTURA COMPLESSA SERT;VIA MEDAGLIE D'ORO  9;019035;CREMA;CR;ASST DI CREMA;01629350198;LARGO UGO DOSSENA 2;019035;CREMA;CR;ASST;PUBBLICO;NO;9.6855389;45.35996419;45.35996419;9.6855389;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";8;8
323;002906;SER.T DISTRETTO DI TIRANO;VIALE CAPPUCCINI  4;014066;TIRANO;SO;ASST DELLA VALTELLINA E DELL'ALTO LARIO;00988090148;VIA STELVIO 25;014061;SONDRIO;SO;ASST;PUBBLICO;NO;10.16651418;46.21897788;46.21897788;10.16651418;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";3;3
321;002373;NUCLEO OPERATIVO ALCOLOGIA;VIA CESARE CANDIANI  2;015118;LEGNANO;MI;ASST OVEST MILANESE;09319650967;VIA PAPA GIOVANNI PAOLO II 3;015118;LEGNANO;MI;ASST;PUBBLICO;NO;8.92905725;45.5952231;45.5952231;8.92905725;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;002484;NOA SESTO SAN GIOVANNI;VIALE GIACOMO MATTEOTTI  13;015209;SESTO SAN GIOVANNI;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.2244166;45.53485234;45.53485234;9.2244166;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
323;002885;SER.T DISTRETTO DI BORMIO;VICOLO VICOLO DEL GINNASIO  3;014009;BORMIO;SO;ASST DELLA VALTELLINA E DELL'ALTO LARIO;00988090148;VIA STELVIO 25;014061;SONDRIO;SO;ASST;PUBBLICO;NO;;;;;;;
322;002600;ARCISATE;VIA MATTEOTTI  20;012004;ARCISATE;VA;ASST DEI SETTE LAGHI;03510050127;VIALE LUIGI BORRI 57;012133;VARESE;VA;ASST;PUBBLICO;NO;8.85710292;45.85927428;45.85927428;8.85710292;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";1;1
321;002567;SERT CASALPUSTERLENGO;VIA ADDA  21;098010;CASALPUSTERLENGO;LO;ASST DI LODI;09322180960;VIA ANTONIO FISSIRAGA 15;098031;LODI;LO;ASST;PUBBLICO;NO;9.6497311;45.18381469;45.18381469;9.6497311;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";11;11
323;002980;SERT;VIA CERCOVI  2;017065;DARFO BOARIO TERME;BS;ASST DELLA VALCAMONICA;03775830981;VIA NISSOLINA 2;017028;BRENO;BS;ASST;PUBBLICO;NO;10.18091942;45.8764169;45.8764169;10.18091942;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
322;002669;GALLARATE;VIA CAVALLOTTI  21;012070;GALLARATE;VA;ASST DELLA VALLE OLONA;03510190121;VIA ARNALDO DA BRESCIA 1;012026;BUSTO ARSIZIO;VA;ASST;PUBBLICO;NO;8.79012754;45.66465731;45.66465731;8.79012754;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";1;1
322;002624;TRADATE;VIA ANTONIO DA TRADATE  3;012127;TRADATE;VA;ASST DEI SETTE LAGHI;03510050127;VIALE LUIGI BORRI 57;012133;VARESE;VA;ASST;PUBBLICO;NO;;;;;;;
325;003211;SER.D MARTINENGO;PIAZZA MAGGIORE  11;016133;MARTINENGO;BG;ASST DI BERGAMO OVEST;04114450168;PIAZZALE OSPEDALE 1;016219;TREVIGLIO;BG;ASST;PUBBLICO;NO;9.76712144;45.57098339;45.57098339;9.76712144;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
325;003235;SER.D ASST BERGAMO EST - SEDE DI GAZZANIGA;VIA ALESSANDRO MANZONI  98;016111;GAZZANIGA;BG;ASST DI BERGAMO EST;04114380167;VIA PADERNO 21;016198;SERIATE;BG;ASST;PUBBLICO;NO;9.83105723;45.79519594;45.79519594;9.83105723;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
321;003579;SERT CANZIO;VIA STEFANO CANZIO  18;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.21925925;45.48520055;45.48520055;9.21925925;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
