cod_asl;cod_struttura;denom_struttura;indirizzo_ubicazione;cod_istat_comune_ubicazione;comune_ubicazione;prov_comune_ubicazione;denom_gestore;p_iva;indirizzo_sede_legale;cod_istat_comune_sede_legale;comune_sede_legale;prov_sede_legale;natura_giuridica;pubblica_privata;onlus;wgs84_x;wgs84_y;location/latitude;location/longitude;location/human_address;:@computed_region_6hky_swhk;:@computed_region_ttgh_9sm5
327;003403;UNITA' SEMPLICE SERT;VIA ROMANI  52;019021;CASALMAGGIORE;CR;ASST DI CREMONA;01629400191;VIALE CONCORDIA 1;019036;CREMONA;CR;ASST;PUBBLICO;NO;10.4153481;44.99093928;44.99093928;10.4153481;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";8;8
327;003456;SER.D. MANTOVA;VIA HROVATIN  2;020030;MANTOVA;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.78104277;45.14641735;45.14641735;10.78104277;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
326;003312;UNITA' SEMPLICE CENTRO CLINICO COCAINOMANI;VIA LAMARMORA  56;017029;BRESCIA;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;10.20683984;45.52306472;45.52306472;10.20683984;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
324;003025;SERT LECCO;CORSO PROMESSI SPOSI  1;097042;LECCO;LC;ASST DI LECCO;03622120131;VIA DELL'EREMO 9/11;097042;LECCO;LC;ASST;PUBBLICO;NO;9.40278809;45.85439845;45.85439845;9.40278809;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";10;10
326;036226;UNITÀ SEMPLICE SERT;VIA ALESSANDRO LAMARMORA  56;017029;BRESCIA;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;10.20683984;45.52306472;45.52306472;10.20683984;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
321;003576;SERT TRATTAMENTO AVANZATO;VIA CONCA DEL NAVIGLIO  45;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.17748258;45.4544012;45.4544012;9.17748258;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
327;003413;SER.T. CASTIGLIONE DELLE STIVIERE;VIA ORDANINO  11;020017;CASTIGLIONE DELLE STIVIERE;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.4909119;45.39116463;45.39116463;10.4909119;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
326;003364;NOA LENO;PIAZZA DONATORI DI SANGUE  1;017088;LENO;BS;ASST DEL GARDA;03775660982;LOCALITA' MONTECROCE SNC;017067;DESENZANO DEL GARDA;BS;ASST;PUBBLICO;NO;10.21740019;45.36592235;45.36592235;10.21740019;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
321;002357;NUCLEO OPERATIVO ALCOLOGIA;PIAZZA BARBARA CAZZAMINI MUSSI  1;015002;ABBIATEGRASSO;MI;ASST OVEST MILANESE;09319650967;VIA PAPA GIOVANNI PAOLO II 3;015118;LEGNANO;MI;ASST;PUBBLICO;NO;8.91434847;45.39513974;45.39513974;8.91434847;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
326;003252;NOA VALTROMPIA;PIAZZALE EUROPA  16;017174;SAREZZO;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;10.20162019;45.64881806;45.64881806;10.20162019;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
325;003215;SER.D TREVIGLIO;VIALE XXV APRILE  6;016219;TREVIGLIO;BG;ASST DI BERGAMO OVEST;04114450168;PIAZZALE OSPEDALE 1;016219;TREVIGLIO;BG;ASST;PUBBLICO;NO;9.59073599;45.52083019;45.52083019;9.59073599;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
327;003447;SER.T. VIADANA;LARGO DE GASPERI  11;020066;VIADANA;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.52273062;44.9255037;44.9255037;10.52273062;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
321;002521;SERVIZIO TERRITORIALE DI ALCOLOGIA E COMPORTAMENTI DI ADDICTION;VIA BELLINI  5;015108;GORGONZOLA;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.41378544;45.53390363;45.53390363;9.41378544;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002592;VARESE;VIA OTTORINO ROSSI  9;012133;VARESE;VA;ASST DEI SETTE LAGHI;03510050127;VIALE LUIGI BORRI 57;012133;VARESE;VA;ASST;PUBBLICO;NO;8.84697955;45.79940607;45.79940607;8.84697955;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";1;1
321;002346;SER.T. PARABIAGO;VIA DON GIOVANNI SPAGLIARDI  19;015168;PARABIAGO;MI;ASST OVEST MILANESE;09319650967;VIA PAPA GIOVANNI PAOLO II 3;015118;LEGNANO;MI;ASST;PUBBLICO;NO;8.9516025;45.5588643;45.5588643;8.9516025;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
